u_true,u_pred,v_true,v_pred,date
0.03813487,0.009579642,-0.041982856,-0.011749711,2023-09-05
0.02720128,0.010815395,-0.0125789335,-0.0134826,2023-06-15
0.031235032,0.01836228,-0.013534295,-0.020867512,2023-06-29
0.0079878885,0.00054447725,-0.025662085,-0.008466091,2023-09-01
0.01616154,0.018987544,-0.007669434,-0.009457452,2023-07-24
-0.034021504,-0.026629044,0.002706859,0.0023654643,2023-05-04
-0.009765923,-0.0008622445,-0.016373843,-0.011073567,2023-09-30
-0.01165011,-0.030454407,0.009765923,0.017797688,2023-03-07
-0.011437806,-0.012423912,-0.009367855,-0.008102013,2023-04-06
-0.02929777,-0.02259141,-0.015975777,-0.014353707,2023-04-02
0.02438827,0.020744024,-0.009606696,-0.014749363,2023-07-24
-0.033649974,-0.010250775,0.0367549,0.011720822,2023-06-05
-0.016108466,-0.018295372,-0.0034499185,-0.0058054198,2023-04-21
-0.004139902,0.008136101,0.019001089,0.03702289,2023-03-01
0.037949104,0.027194375,-0.008040964,-0.0123324245,2023-08-24
-0.017992651,-0.037943058,-0.013454682,-0.006553918,2023-05-08
-0.014834649,-0.017098716,0.011145891,-0.00013391301,2023-05-15
-0.002892624,-0.025334453,0.0012207404,-0.021007776,2023-03-06
0.01961146,0.0062348023,-0.026988978,-0.023686316,2023-09-07
-0.019903375,-0.015347468,-0.0012738161,-0.0029801242,2023-03-28
-0.006209853,-0.021488665,-0.0060240882,-0.024911564,2023-03-09
-0.03749796,-0.07968588,-0.021734485,-0.040050983,2023-04-22
-0.0014595808,-0.011070518,-0.0066344584,-0.008768117,2023-05-24
0.03858601,0.016480722,-0.02964276,-0.014513284,2023-07-08
0.047900792,0.022328924,-0.021707948,-0.01382979,2023-08-05
0.0037949104,0.008164508,-0.0026007078,-0.00023929588,2023-06-09
0.032897823,0.021615455,-0.031247562,-0.0224239,2023-08-16
0.04742311,0.026098303,-0.028528173,-0.02780443,2023-08-18
0.024600573,0.020489959,0.008147115,0.0025066845,2023-07-28
0.020566821,-3.0269846e-05,0.009606696,0.0043623485,2023-06-13
0.034339957,0.019128319,-0.03747142,-0.021977391,2023-08-24
0.039620988,0.02193775,-0.019770687,-0.017053608,2023-06-28
0.05586214,0.022335477,-0.030836964,-0.013059165,2023-07-14
0.0178865,0.010985833,-0.0037683726,-0.006577162,2023-06-06
-0.0073509803,-0.031368636,-0.0077490476,-0.017980222,2023-03-13
0.065734215,0.02558967,-0.05145686,-0.022857003,2023-07-07
0.017116902,0.020603871,-0.020168753,-0.011516284,2023-07-20
0.02133642,0.011777114,-0.0064752316,-0.0035107248,2023-06-09
0.0010084377,-0.008458449,-0.013613909,-0.027371325,2023-05-07
0.04301783,0.02372651,-0.03664875,-0.016434237,2023-07-10
-0.039063692,-0.016890919,-0.008651334,-0.008815356,2023-05-06
-0.010827436,-0.0067616682,-0.007510207,-0.0013234876,2023-03-22
-0.028793551,-0.024361534,0.008677872,0.006119812,2023-05-06
0.041372485,0.017396297,-0.035268784,-0.02230151,2023-08-11
-0.021150654,0.00034985505,-0.026750136,-0.03448128,2023-09-30
0.008173653,-0.0029946472,-0.016639221,-0.004528191,2023-09-11
0.023353294,0.019358478,-0.021840638,-0.019505639,2023-07-12
0.0426463,0.011995491,-0.036489524,-0.013860542,2023-08-19
0.015391944,0.014396898,-0.01873571,-0.011775438,2023-07-20
0.023937127,0.006953465,-0.040655963,-0.018752381,2023-09-21
0.043813966,0.021310491,-0.032668073,-0.019457318,2023-07-05
-0.01995645,-0.02292599,-0.0043787425,-0.005760245,2023-05-07
-0.02842202,-0.02302338,-0.0058648614,-0.007917181,2023-03-30
0.01618808,0.015108622,-0.08683179,-0.031819165,2023-09-16
0.0019372619,0.0034679286,0.008412493,0.0001113005,2023-09-07
0.01616154,0.013825633,-0.0094740065,-0.015279707,2023-08-16
-0.0019107241,-7.883459e-05,-0.007855199,-0.00926224,2023-03-19
0.037789878,0.027475972,-0.028368944,-0.022043735,2023-07-27
-0.032615,-0.014833031,-0.040470198,-0.024024952,2023-04-26
-0.027174743,-0.06222021,-0.016108466,-0.025511544,2023-04-16
-0.006687534,-0.017671091,-0.008810561,-0.012581032,2023-04-08
0.0079613505,0.020401664,0.0037683726,0.0020041224,2023-03-05
-0.004511432,-0.01730687,0.0027333968,0.009788616,2023-04-27
0.033013064,0.017108703,-0.044583563,-0.018313825,2023-07-12
0.0055729453,0.0098395515,0.00082267285,0.006481773,2023-03-20
0.030093905,0.029246423,0.0061833155,0.0025614426,2023-05-31
0.025184404,0.020021955,-0.045485847,-0.034710634,2023-06-18
-0.041266333,-0.08184519,-0.023326756,-0.04141183,2023-04-19
0.039514836,0.015371176,-0.008916712,-0.00340686,2023-06-21
-0.021124115,-0.019195454,-0.017063828,-0.0056746975,2023-05-08
